gender,city,state,job,category,amt,dia,mes,ano,hora,minuto,is_fraud
F,New York City,NY,Accounting technician,shopping_pos,28.41,27,8,2023,17,34,0.0
F,New Milford,NJ,"Engineer, agricultural",personal_care,63.62,26,1,2024,21,51,0.0
M,Hot Springs National Park,AR,Video editor,misc_net,34.48,28,6,2023,7,27,0.0
F,Sayville,NY,Private music teacher,grocery_pos,16.15,20,4,2023,4,58,0.0
M,Holt,MI,Counsellor,personal_care,134.79,31,1,2024,12,40,0.0
F,Danville,VA,Academic librarian,kids_pets,189.89,25,12,2023,20,33,0.0
M,Rio Rancho,NM,Clothing/textile technologist,misc_pos,379.36,6,7,2023,13,27,0.0
F,Tualatin,OR,Occupational therapist,shopping_pos,6.72,31,8,2023,12,57,0.0
M,Ellicott City,MD,"Civil engineer, contracting",shopping_pos,1.2,20,8,2023,5,29,0.0
F,Walnut Grove,MN,"Surveyor, insurance",personal_care,8.25,24,2,2024,15,42,0.0
M,Charlottesville,VA,"Therapist, speech and language",kids_pets,5.54,31,12,2023,12,17,0.0
M,Levelland,TX,Firefighter,health_fitness,6.0,18,11,2023,13,28,0.0
M,Lancaster,CA,Water quality scientist,entertainment,91.23,26,9,2023,14,22,0.0
M,Biloxi,MS,Horticultural therapist,health_fitness,14.1,2,12,2023,22,51,0.0
F,Patchogue,NY,Systems analyst,kids_pets,27.86,19,12,2023,22,32,0.0
F,Salt Lake City,UT,"Librarian, public",personal_care,78.29,16,2,2024,19,51,0.0
F,Chula Vista,CA,Call centre manager,shopping_pos,41.36,25,8,2023,14,34,0.0
F,Jackson,LA,Recycling officer,food_dining,2.51,16,11,2023,15,54,0.0
F,Tiffin,OH,Architect,entertainment,1.67,26,8,2023,9,7,0.0
M,Houston,TX,Health and safety inspector,home,65.05,15,12,2023,13,24,0.0
M,Hialeah,FL,Publishing rights manager,health_fitness,5.92,30,11,2023,20,33,0.0
F,New York City,NY,Accounting technician,personal_care,41.62,2,2,2024,20,30,0.0
M,Charlotte,NC,"Scientist, clinical (histocompatibility and immunogenetics)",food_dining,65.22,14,10,2023,9,20,0.0
F,Chula Vista,CA,Call centre manager,shopping_net,31.1,5,7,2023,17,50,0.0
F,King Of Prussia,PA,"Teacher, adult education",grocery_pos,129.24,17,5,2023,2,17,0.0
F,Chula Vista,CA,Call centre manager,shopping_net,37.62,15,7,2023,18,38,0.0
M,San Jose,CA,Intelligence analyst,home,3.31,26,12,2023,12,34,0.0
M,Denver,CO,Careers adviser,gas_transport,78.44,1,4,2023,1,44,0.0
F,Champaign,IL,Publishing copy,travel,81.35,2,3,2024,23,42,0.0
M,Peoria,IL,"Accountant, chartered",home,86.31,21,12,2023,22,17,0.0
M,Fayetteville,AR,"Scientist, marine",home,42.86,18,12,2023,16,16,0.0
F,Evansville,IN,Quarry manager,grocery_pos,9.49,1,6,2023,1,24,0.0
M,Newcastle,OK,IT consultant,health_fitness,149.21,22,11,2023,20,20,0.0
M,Peoria,IL,"Accountant, chartered",kids_pets,2.6,31,12,2023,19,51,0.0
M,Seattle,WA,Immigration officer,kids_pets,1.81,14,1,2024,21,30,0.0
M,Houston,TX,Health and safety inspector,misc_pos,1.57,15,7,2023,13,4,0.0
F,Miami,FL,"Copywriter, advertising",personal_care,101.86,15,1,2024,14,27,0.0
M,Moreno Valley,CA,Paediatric nurse,gas_transport,41.34,16,3,2023,6,0,0.0
M,Greensboro,NC,Management consultant,home,2.06,16,12,2023,22,17,0.0
M,Panama City,FL,Scientific laboratory technician,entertainment,113.11,6,10,2023,19,56,0.0
F,Saint Paul,MN,Seismic interpreter,entertainment,6.38,23,9,2023,15,16,0.0
F,Sherrard,IL,Medical secretary,misc_pos,2.88,28,6,2023,23,48,0.0
M,Jackson,MI,"Designer, furniture",grocery_pos,84.2,1,5,2023,10,2,0.0
F,Columbia,MD,Statistician,kids_pets,40.83,5,1,2024,18,3,0.0
F,Seabrook,TX,Broadcast journalist,personal_care,93.56,16,2,2024,14,50,0.0
F,King Of Prussia,PA,"Teacher, adult education",travel,112.81,6,3,2024,18,44,0.0
M,Elk Grove Village,IL,Medical laboratory scientific officer,grocery_net,84.98,28,4,2023,0,5,0.0
F,Carson City,NV,Health and safety inspector,misc_pos,102.67,14,6,2023,3,51,0.0
F,Seabrook,TX,Broadcast journalist,food_dining,82.2,15,11,2023,16,22,0.0
M,Greensboro,NC,Higher education careers adviser,kids_pets,139.85,13,1,2024,13,26,0.0
M,College Station,TX,"Chemist, analytical",grocery_pos,101.07,27,4,2023,7,32,0.0
F,Miami,FL,Plant breeder/geneticist,misc_pos,47.74,23,6,2023,3,22,0.0
F,Bethel,OH,"Teacher, secondary school",entertainment,5.3,2,10,2023,12,47,0.0
F,New York City,NY,Accounting technician,misc_pos,375.79,23,6,2023,10,9,0.0
M,Canton,GA,Barista,grocery_net,29.13,2,5,2023,4,23,0.0
M,Koosharem,UT,"Surveyor, land/geomatics",shopping_pos,39.61,25,8,2023,2,10,0.0
M,Mesa,AZ,Associate Professor,gas_transport,32.76,4,4,2023,3,49,0.0
F,Longwood,FL,"Engineer, broadcasting (operations)",gas_transport,40.5,19,4,2023,7,37,0.0
M,Hialeah,FL,Publishing rights manager,home,7.31,8,12,2023,20,50,0.0
F,Orange City,FL,Paediatric nurse,food_dining,26.04,15,10,2023,16,42,0.0
F,Longwood,FL,"Engineer, broadcasting (operations)",grocery_pos,58.1,26,5,2023,9,49,0.0
M,Fort Cobb,OK,Insurance risk surveyor,kids_pets,4.04,23,12,2023,16,36,0.0
M,Newcastle,OK,IT consultant,misc_pos,35.29,9,7,2023,18,1,0.0
F,Stafford,VA,Careers information officer,home,9.61,9,12,2023,19,27,0.0
F,Columbia,MD,Statistician,health_fitness,18.11,5,12,2023,13,30,0.0
M,Dadeville,AL,Ranger/warden,gas_transport,8.38,9,3,2023,10,8,0.0
F,Seabrook,TX,Broadcast journalist,gas_transport,55.56,29,4,2023,1,52,0.0
M,Shreveport,LA,"Therapist, horticultural",personal_care,25.27,14,2,2024,23,18,0.0
F,Danville,VA,Academic librarian,home,48.2,18,12,2023,12,10,0.0
F,Celina,OH,Audiological scientist,shopping_net,67.38,8,7,2023,18,18,0.0
M,Houston,TX,Health and safety inspector,personal_care,9.01,18,2,2024,14,51,0.0
F,Seattle,WA,Interior and spatial designer,shopping_pos,2.83,19,8,2023,21,49,0.0
F,Ormond Beach,FL,Speech and language therapist,misc_pos,108.55,30,6,2023,4,57,0.0
M,Davis City,IA,"Programmer, systems",personal_care,3.34,18,2,2024,18,25,0.0
M,Indianapolis,IN,Product manager,grocery_pos,53.07,10,6,2023,3,1,0.0
F,Gallatin,TN,"Accountant, chartered certified",gas_transport,127.89,13,3,2023,2,45,0.0
F,Anchorage,AK,"Engineer, broadcasting (operations)",food_dining,49.76,23,10,2023,20,18,0.0
F,Celina,OH,Audiological scientist,personal_care,37.23,23,2,2024,15,56,0.0
M,Portland,OR,Merchant navy officer,shopping_net,20.64,30,7,2023,21,21,0.0
F,Longwood,FL,"Engineer, broadcasting (operations)",gas_transport,45.95,10,3,2023,6,11,0.0
F,Boise,ID,Banker,grocery_pos,9.45,30,4,2023,7,24,0.0
F,Celina,OH,Audiological scientist,kids_pets,3.77,14,1,2024,18,4,0.0
M,Charlottesville,VA,"Therapist, speech and language",home,53.31,20,11,2023,14,31,0.0
F,Seabrook,TX,Broadcast journalist,shopping_net,3.79,4,8,2023,22,3,0.0
F,King Of Prussia,PA,"Teacher, adult education",grocery_pos,37.45,30,4,2023,3,2,0.0
F,Flint,MI,Site engineer,travel,12.64,5,3,2024,12,35,0.0
F,Palm Coast,FL,Learning disability nurse,grocery_net,198.96,25,3,2023,10,33,0.0
F,Miami,FL,Early years teacher,entertainment,55.19,17,9,2023,15,12,0.0
F,Evansville,IN,Quarry manager,food_dining,73.01,28,9,2023,5,53,0.0
F,Saint Louis,MO,Lawyer,entertainment,72.21,16,9,2023,11,24,0.0
F,Greendale,WI,Tax inspector,entertainment,6.91,10,9,2023,23,50,0.0
M,Nanuet,NY,Ophthalmologist,misc_pos,4.65,30,6,2023,0,28,0.0
M,Belle Vernon,PA,Solicitor,shopping_pos,62.85,12,8,2023,9,47,0.0
M,Yarmouth Port,MA,Electronics engineer,misc_net,283.51,9,6,2023,1,36,0.0
F,Celina,OH,Audiological scientist,grocery_net,64.36,23,3,2023,10,49,0.0
M,Newhall,CA,"Scientist, research (physical sciences)",kids_pets,312.65,20,1,2024,16,58,0.0
M,Canton,GA,Barista,grocery_pos,100.35,15,5,2023,5,35,0.0
M,Hialeah,FL,Publishing rights manager,shopping_pos,5.47,1,9,2023,18,36,0.0
M,Spring City,TN,"Designer, multimedia",health_fitness,29.67,8,12,2023,21,58,0.0
M,Peoria,IL,"Accountant, chartered",gas_transport,75.34,28,3,2023,8,25,0.0
M,Rio Rancho,NM,Clothing/textile technologist,shopping_pos,6.36,27,8,2023,16,54,0.0
F,Moss Landing,CA,Analytical chemist,misc_net,70.13,20,6,2023,2,23,0.0
F,Seabrook,TX,Broadcast journalist,shopping_pos,5.48,27,8,2023,13,41,0.0
F,San Marcos,CA,Occupational psychologist,personal_care,9.29,14,2,2024,19,15,0.0
F,Clear Lake,MN,"Engineer, electronics",personal_care,5.65,6,2,2024,19,59,0.0
F,Carson City,NV,Health and safety inspector,health_fitness,26.0,3,11,2023,14,18,0.0
M,Portage,MI,Research scientist (maths),gas_transport,59.97,25,3,2023,10,45,0.0
F,Jackson,LA,Recycling officer,home,59.69,10,12,2023,23,57,0.0
M,Hialeah,FL,Publishing rights manager,shopping_pos,93.4,12,9,2023,18,54,0.0
M,Hialeah,FL,Publishing rights manager,shopping_net,74.04,9,8,2023,15,46,0.0
F,Sayville,NY,Private music teacher,grocery_pos,194.87,7,5,2023,2,48,0.0
F,Milwaukee,WI,Senior tax professional/tax inspector,grocery_pos,63.76,27,5,2023,3,40,0.0
F,Tualatin,OR,Occupational therapist,food_dining,6.26,11,11,2023,14,18,0.0
M,Indianapolis,IN,Product manager,shopping_pos,6.71,15,9,2023,14,51,0.0
M,El Segundo,CA,"Therapist, speech and language",food_dining,28.02,2,11,2023,15,45,0.0
F,Tiffin,OH,Architect,gas_transport,73.49,24,3,2023,4,34,0.0
M,Canton,GA,Barista,grocery_pos,89.69,13,5,2023,5,47,0.0
M,Indianapolis,IN,Product manager,shopping_net,69.19,28,7,2023,20,16,0.0
F,Milwaukee,WI,Senior tax professional/tax inspector,kids_pets,71.46,30,12,2023,12,2,0.0
F,Reno,NV,Best boy,food_dining,38.28,31,10,2023,18,24,0.0
M,Peoria,IL,"Accountant, chartered",misc_pos,102.71,14,7,2023,12,28,0.0
F,Reno,NV,Best boy,home,3.39,8,12,2023,17,11,0.0
F,Jacksonville,FL,"Social research officer, government",food_dining,60.12,15,10,2023,22,50,0.0
F,Mahaffey,PA,Chartered accountant,personal_care,39.77,12,1,2024,15,50,0.0
M,Newhall,CA,"Scientist, research (physical sciences)",health_fitness,2.42,1,12,2023,16,21,0.0
F,Longwood,FL,"Engineer, broadcasting (operations)",home,68.93,16,12,2023,16,58,0.0
F,Rochester,NY,Management consultant,shopping_net,20.37,10,7,2023,9,21,0.0
F,Berlin Heights,OH,"Production assistant, television",grocery_net,55.95,13,4,2023,4,36,0.0
F,New Milford,NJ,"Engineer, agricultural",home,22.24,16,12,2023,15,13,0.0
F,Peoria,AZ,Historic buildings inspector/conservation officer,misc_net,3.96,11,6,2023,7,59,0.0
F,Buckeye,AZ,"Engineer, aeronautical",grocery_pos,60.32,28,4,2023,6,20,0.0
F,Tualatin,OR,Occupational therapist,misc_pos,2.25,2,7,2023,19,22,0.0
F,Jackson,LA,Recycling officer,kids_pets,9.96,29,12,2023,17,32,0.0
M,York,PA,Radio broadcast assistant,food_dining,2.61,29,10,2023,22,10,0.0
F,Evansville,IN,Quarry manager,entertainment,1.04,9,9,2023,3,33,0.0
F,Nashville,TN,"Buyer, retail",kids_pets,9.23,26,12,2023,18,43,0.0
M,Newhall,CA,"Scientist, research (physical sciences)",food_dining,4.82,3,11,2023,23,14,0.0
M,Seattle,WA,Immigration officer,home,49.78,16,12,2023,14,31,0.0
F,Georgetown,KY,Phytotherapist,travel,132.08,27,2,2024,21,12,0.0
M,Perkins,OK,Regulatory affairs officer,misc_pos,3.29,15,7,2023,17,24,0.0
M,Lancaster,CA,Water quality scientist,personal_care,44.77,22,2,2024,17,28,0.0
F,Schenectady,NY,Professor Emeritus,gas_transport,39.61,18,3,2023,1,55,0.0
F,Walnut Grove,MN,"Surveyor, insurance",shopping_pos,90.92,22,8,2023,18,34,0.0
M,Biloxi,MS,Horticultural therapist,grocery_pos,7.65,24,5,2023,11,3,0.0
M,Grosse Pointe,MI,"Conservator, furniture",shopping_pos,1.56,3,8,2023,9,30,0.0
F,Gallatin,TN,"Accountant, chartered certified",grocery_net,5.38,12,4,2023,3,42,0.0
F,Danville,VA,Academic librarian,entertainment,3.51,27,9,2023,20,30,0.0
F,Peoria,AZ,Historic buildings inspector/conservation officer,grocery_pos,211.73,2,6,2023,11,40,0.0
M,Newcastle,OK,IT consultant,kids_pets,1.88,29,12,2023,13,48,0.0
F,Sherrard,IL,Medical secretary,personal_care,35.94,24,1,2024,15,31,0.0
M,York,PA,Radio broadcast assistant,personal_care,1.37,4,2,2024,20,49,0.0
M,Hazleton,IA,Emergency planning/management officer,gas_transport,61.81,9,4,2023,2,32,0.0
M,Holt,MI,Counsellor,shopping_pos,14.73,16,8,2023,22,2,0.0
M,Jackson,MI,"Designer, furniture",grocery_net,43.38,18,4,2023,8,57,0.0
M,Newbury,OH,Podiatrist,kids_pets,7.21,22,12,2023,20,15,0.0
F,Thornton,CA,Arts development officer,misc_net,29.88,3,7,2023,12,12,0.0
M,Charlotte,NC,"Scientist, clinical (histocompatibility and immunogenetics)",misc_pos,97.26,13,6,2023,8,53,0.0
F,Stafford,VA,Careers information officer,gas_transport,63.67,31,3,2023,8,15,0.0
F,Seabrook,TX,Broadcast journalist,personal_care,7.56,22,1,2024,22,50,0.0
M,Hialeah,FL,Publishing rights manager,gas_transport,175.73,5,4,2023,4,24,0.0
F,Bethel,OH,"Teacher, secondary school",misc_net,3.81,29,5,2023,4,33,0.0
M,Leesburg,GA,Dancer,personal_care,65.39,2,2,2024,12,51,0.0
M,Hazleton,IA,Emergency planning/management officer,grocery_pos,32.8,27,5,2023,11,36,0.0
F,Miami,FL,Plant breeder/geneticist,misc_pos,18.38,13,6,2023,8,46,0.0
F,El Paso,TX,"Programmer, multimedia",entertainment,8.39,15,10,2023,13,23,0.0
F,King Of Prussia,PA,"Teacher, adult education",food_dining,197.74,28,10,2023,12,54,0.0
F,Dansville,NY,Patent attorney,grocery_pos,71.96,19,5,2023,9,49,0.0
F,Walnut Grove,MN,"Surveyor, insurance",grocery_pos,225.58,20,5,2023,11,12,0.0
F,Carson City,NV,Health and safety inspector,home,8.26,9,12,2023,14,1,0.0
M,Oakland,CA,"Engineer, communications",health_fitness,25.51,16,11,2023,22,42,0.0
M,Rochester,NY,Soil scientist,food_dining,7.73,19,10,2023,21,31,0.0
M,Newbury,OH,Podiatrist,gas_transport,6.79,8,3,2023,5,10,0.0
F,Stafford,VA,Careers information officer,entertainment,5.64,28,9,2023,12,31,0.0
F,Lake Wales,FL,Community arts worker,shopping_pos,6.8,22,7,2023,8,22,0.0
M,Burlington,WA,Fish farm manager,kids_pets,2.93,13,1,2024,23,42,0.0
M,Portage,MI,Research scientist (maths),misc_pos,3.59,17,6,2023,11,21,0.0
F,Saint Louis,MO,Press sub,misc_net,5.36,11,6,2023,8,42,0.0
M,Houston,TX,Health and safety inspector,kids_pets,66.76,2,1,2024,17,50,0.0
F,Chula Vista,CA,Call centre manager,kids_pets,26.27,13,1,2024,14,19,0.0
M,Jackson,MI,"Designer, furniture",grocery_pos,71.37,25,5,2023,7,28,0.0
M,Atlanta,GA,Maintenance engineer,misc_pos,8.19,12,7,2023,22,48,0.0
M,Hazleton,IA,Emergency planning/management officer,misc_net,7.39,23,6,2023,3,55,0.0
F,Rhinelander,WI,"Teacher, music",personal_care,101.24,1,2,2024,16,5,0.0
F,Chula Vista,CA,Call centre manager,grocery_pos,192.7,5,5,2023,7,58,0.0
M,Levelland,TX,Firefighter,food_dining,12.87,28,10,2023,15,21,0.0
F,Miami,FL,Plant breeder/geneticist,grocery_pos,223.93,18,5,2023,9,14,0.0
M,Charlotte,NC,"Scientist, clinical (histocompatibility and immunogenetics)",grocery_pos,222.93,5,5,2023,9,32,0.0
F,Fort Worth,TX,"Social research officer, government",entertainment,63.95,11,9,2023,13,3,0.0
F,Sayville,NY,Private music teacher,misc_net,188.22,8,6,2023,5,55,0.0
M,Houston,TX,Health and safety inspector,entertainment,14.74,26,9,2023,12,42,0.0
M,Murrieta,CA,Counselling psychologist,entertainment,6.37,15,10,2023,13,58,0.0
F,Mahaffey,PA,Chartered accountant,gas_transport,1.27,25,4,2023,6,34,0.0
F,El Paso,TX,"Programmer, multimedia",grocery_net,68.38,4,5,2023,8,17,0.0
M,Greensboro,NC,Management consultant,home,1.74,9,12,2023,15,48,0.0
F,Fort Worth,TX,"Social research officer, government",grocery_net,84.96,31,3,2023,2,41,0.0
F,Champaign,IL,Publishing copy,entertainment,67.17,19,9,2023,12,0,0.0
M,Chickasha,OK,Airline pilot,health_fitness,3.45,1,11,2023,21,37,0.0
M,New York City,NY,Chartered legal executive (England and Wales),health_fitness,2.92,5,12,2023,13,27,0.0
F,Miami,FL,Plant breeder/geneticist,health_fitness,51.98,17,11,2023,20,51,0.0
M,Cutler,CA,Secondary school teacher,food_dining,92.77,14,10,2023,6,38,0.0
F,Bethel,OH,"Teacher, secondary school",grocery_net,205.05,9,4,2023,9,53,0.0
M,Louisville,KY,Adult nurse,entertainment,35.06,16,9,2023,4,44,0.0
M,Charlottesville,VA,"Therapist, speech and language",shopping_pos,661.84,20,8,2023,8,48,0.0
M,Indianapolis,IN,Product manager,kids_pets,4.66,18,1,2024,17,9,0.0
F,Rhinelander,WI,"Teacher, music",kids_pets,131.19,24,12,2023,13,54,0.0
M,Perkins,OK,Regulatory affairs officer,home,83.88,20,12,2023,23,29,0.0
F,Keithville,LA,General practice doctor,grocery_net,82.39,19,4,2023,1,23,0.0
M,Brockton,MA,Hydrogeologist,travel,2.1,29,2,2024,23,53,0.0
M,Staunton,IL,Editorial assistant,grocery_pos,20.12,26,5,2023,8,8,0.0
F,Carson City,NV,Health and safety inspector,shopping_pos,1.18,6,8,2023,7,42,0.0
F,El Paso,TX,"Programmer, multimedia",travel,6.72,26,2,2024,21,9,0.0
F,Burbank,CA,Event organiser,shopping_pos,21.39,24,8,2023,22,1,0.0
F,Fort Worth,TX,"Social research officer, government",misc_net,58.2,30,5,2023,4,7,0.0
M,Greensboro,NC,Management consultant,shopping_net,8.42,29,7,2023,13,29,0.0
F,Midland,NC,Television floor manager,misc_net,2.53,10,6,2023,11,18,0.0
F,Reno,NV,Best boy,shopping_pos,70.08,24,8,2023,12,30,0.0
M,Rio Rancho,NM,Clothing/textile technologist,kids_pets,33.77,26,1,2024,17,33,0.0
F,Tiffin,OH,Architect,misc_pos,131.7,1,7,2023,10,55,0.0
F,Bethel,OH,"Teacher, secondary school",home,2.91,8,12,2023,19,47,0.0
M,Fond Du Lac,WI,Acupuncturist,grocery_net,3.88,20,4,2023,10,14,0.0
M,Davis City,IA,"Programmer, systems",kids_pets,36.45,30,12,2023,17,47,0.0
F,Chula Vista,CA,Call centre manager,grocery_pos,46.64,21,5,2023,4,23,0.0
F,Chula Vista,CA,Call centre manager,entertainment,48.68,13,9,2023,17,59,0.0
M,Hazleton,IA,Emergency planning/management officer,health_fitness,2.83,30,10,2023,22,4,0.0
M,Portland,OR,Merchant navy officer,grocery_net,49.48,9,5,2023,7,33,0.0
M,Island Park,NY,Radiation protection practitioner,health_fitness,27.24,3,12,2023,13,37,0.0
M,Hot Springs National Park,AR,Video editor,food_dining,234.87,12,11,2023,13,30,0.0
F,Danville,VA,Academic librarian,misc_net,84.29,6,6,2023,10,38,0.0
F,San Marcos,CA,Occupational psychologist,health_fitness,1.79,28,10,2023,22,54,0.0
M,Newcastle,OK,IT consultant,grocery_pos,6.75,24,5,2023,10,8,0.0
M,Riverside,CA,Architectural technologist,health_fitness,13.32,9,11,2023,13,34,0.0
M,Holt,MI,Counsellor,grocery_net,118.24,18,4,2023,11,8,0.0
M,Fond Du Lac,WI,Acupuncturist,grocery_pos,87.16,30,4,2023,2,30,0.0
F,Celina,OH,Audiological scientist,shopping_pos,207.52,3,9,2023,16,1,0.0
M,Fort Cobb,OK,Insurance risk surveyor,travel,6.01,22,2,2024,22,23,0.0
M,Newhall,CA,"Scientist, research (physical sciences)",shopping_pos,19.06,29,8,2023,16,21,0.0
F,Jacksonville,FL,"Social research officer, government",misc_pos,215.95,16,6,2023,10,13,0.0
F,Calhan,CO,Sports development officer,health_fitness,1.61,15,11,2023,12,42,0.0
M,Holt,MI,Counsellor,gas_transport,32.47,25,3,2023,5,47,0.0
F,Miami,FL,"Copywriter, advertising",kids_pets,134.4,27,12,2023,19,46,0.0
F,Peoria,AZ,Historic buildings inspector/conservation officer,misc_net,36.44,11,6,2023,9,55,0.0
F,Danville,VA,Academic librarian,health_fitness,73.77,15,11,2023,17,17,0.0
F,Birdseye,IN,Chartered accountant,gas_transport,1.42,2,4,2023,0,40,0.0
F,Rochester,NY,Management consultant,shopping_net,7.51,17,7,2023,2,22,0.0
F,Tualatin,OR,Occupational therapist,food_dining,21.35,5,11,2023,21,59,0.0
F,Hawthorne,FL,Games developer,grocery_net,76.42,9,4,2023,1,17,0.0
F,Sherrard,IL,Medical secretary,grocery_pos,184.24,27,5,2023,16,37,0.0
M,Island Park,NY,Radiation protection practitioner,home,2.36,14,12,2023,18,48,0.0
F,Stafford,VA,Careers information officer,grocery_pos,12.63,31,5,2023,22,38,0.0
F,Martinez,CA,Toxicologist,shopping_net,88.93,12,7,2023,10,33,0.0
F,Bethel,OH,"Teacher, secondary school",shopping_net,6.8,5,7,2023,15,53,0.0
M,Ashland,OR,Field seismologist,grocery_net,67.8,27,4,2023,9,20,0.0
M,Peoria,IL,"Accountant, chartered",grocery_pos,92.08,27,5,2023,5,51,0.0
F,District Heights,MD,Midwife,gas_transport,58.12,8,4,2023,0,57,0.0
M,Miami,FL,Historic buildings inspector/conservation officer,shopping_pos,5.42,13,9,2023,15,13,0.0
F,Milwaukee,WI,Senior tax professional/tax inspector,grocery_pos,135.8,28,4,2023,9,45,0.0
F,Sayville,NY,Private music teacher,kids_pets,113.05,30,12,2023,20,3,0.0
M,Fayetteville,AR,"Scientist, marine",home,56.18,7,12,2023,23,19,0.0
F,Reno,NV,Best boy,shopping_pos,33.06,1,9,2023,21,39,0.0
F,Danville,VA,Academic librarian,personal_care,18.11,10,2,2024,12,44,0.0
F,New Milford,NJ,"Engineer, agricultural",home,47.07,9,12,2023,16,8,0.0
F,Jacksonville,FL,"Social research officer, government",personal_care,35.79,10,2,2024,17,11,0.0
F,Champaign,IL,Publishing copy,home,65.35,18,12,2023,17,43,0.0
M,Charlottesville,VA,"Therapist, speech and language",gas_transport,185.83,7,4,2023,9,19,0.0
F,San Marcos,CA,Occupational psychologist,food_dining,8.59,27,9,2023,11,17,0.0
M,Houston,TX,Health and safety inspector,grocery_net,54.77,3,5,2023,7,30,0.0
F,Miami,FL,Early years teacher,personal_care,43.43,30,1,2024,12,35,0.0
M,Mesa,AZ,Associate Professor,health_fitness,64.95,20,11,2023,22,9,0.0
F,Celina,OH,Audiological scientist,health_fitness,16.63,25,11,2023,21,36,0.0
M,Hazleton,IA,Emergency planning/management officer,health_fitness,18.16,16,11,2023,21,0,0.0
M,Mesquite,TX,"Engineer, water",shopping_pos,83.61,26,8,2023,16,41,0.0
F,Bethel,OH,"Teacher, secondary school",grocery_net,99.53,15,4,2023,2,52,0.0
M,Newcastle,OK,IT consultant,misc_net,44.07,25,6,2023,0,28,0.0
M,Hot Springs National Park,AR,Video editor,misc_net,36.85,26,6,2023,10,23,0.0
M,Allison Park,PA,Software engineer,kids_pets,12.55,3,1,2024,20,57,0.0
M,El Segundo,CA,"Therapist, speech and language",kids_pets,43.22,19,1,2024,16,50,0.0
M,Ashland,OR,Field seismologist,shopping_pos,92.75,9,9,2023,16,31,0.0
F,Anchorage,AK,"Engineer, broadcasting (operations)",grocery_net,40.73,27,3,2023,10,26,0.0
M,Newhall,CA,"Scientist, research (physical sciences)",misc_net,16.44,1,7,2023,18,33,0.0
M,Murrieta,CA,Counselling psychologist,kids_pets,8.57,29,12,2023,22,42,0.0
